code,bloc,ordre,libelle,diligence_attendue,point_de_vigilance,obligatoire,profils_applicables,classes_applicables,code_temps_defaut
A1,A,1,Traitement des points en suspens de la période précédente,"Reprendre chaque suspens ouvert, mettre à jour son statut, le clôturer par une régularisation effective ou par une réponse écrite du client.",Un suspens ne se clôture jamais par l'écoulement du temps.,true,T,A|B|C,G02
A2,A,2,Prise de connaissance des alertes automatiques de la période,Consulter la liste des alertes produites par les contrôles et planifier leur traitement dans la période.,"Les alertes se substituent aux vérifications manuelles, elles ne s'y ajoutent pas.",true,T,A|B|C,G02
B1,B,3,Contrôle de la connexion bancaire,Vérifier compte par compte que les flux ont été récupérés sans interruption. Contrôler la date du dernier mouvement importé.,"Authentification forte à renouveler tous les 180 jours (90 dans certains établissements) : passé ce délai le flux cesse sans alerte. Contrôler chaque compte, jamais le solde global.",true,T,A|B|C,C01
B2,B,4,Contrôle de l'intégration des pièces d'achat et de vente,"Vérifier que toutes les pièces transmises ont été intégrées. Traiter les pièces non reconnues, doublons et documents illisibles.",Une pièce transmise mais non reconnue n'apparaît nulle part.,true,T,A|B|C,C01
B3,B,5,Contrôle de la réception des flux de facturation électronique,Vérifier la réception des factures transmises via la plateforme agréée et le traitement des statuts de cycle de vie.,À activer selon la date d'entrée du dossier dans la réforme. Un rejet non traité équivaut à une facture non reçue.,false,T,A|B|C,C01
B4,B,6,Contrôle de l'intégration des écritures de paie,Vérifier l'exécution de l'intégration. Rapprocher les bruts du journal de paie des comptes 641 et les charges des comptes 645.,L'intégration se déclenche au 16 : une paie rectifiée après cette date n'est pas rejouée.,true,P,A|B|C,C01
B5,B,7,Traitement des documents non comptabilisables,"Pointer, labelliser et dater les documents reçus ne donnant pas lieu à écriture. Signaler les labels non paramétrés.",Évite les demandes répétées de pièces déjà transmises.,false,T,A|B|C,C01
C1,C,8,Traitement des transactions bancaires non affectées,Affecter les transactions que la reconnaissance automatique n'a pas traitées ou a laissées en attente.,"Le volume résiduel mesure la qualité du paramétrage, pas la charge de travail.",true,T,A|B|C,C01
C2,C,9,Contrôle des règles d'affectation automatique,"Contrôler par sondage les écritures produites par les règles automatiques, en priorité celles créées ou modifiées depuis la période précédente.",TÂCHE CRITIQUE. Une règle fausse produit des écritures fausses en série sans générer d'anomalie apparente.,true,T,A|B|C,C01
C3,C,10,Rapprochement des factures et des règlements,Traiter les paiements non rapprochés d'une facture et les factures sans règlement identifié.,Le résiduel non rapproché constitue en lui-même une liste de suspens.,true,T,A|B|C,C01
C4,C,11,Concordance du solde bancaire,"Vérifier que le solde du compte 512 correspond au relevé à la date de clôture de période, compte par compte.",Non délégable à l'automatisme. Aucune période close sans lui.,true,T,A|B|C,C01
D1,D,12,Lettrage des comptes clients et fournisseurs,Traiter le résiduel non lettré automatiquement. Analyser l'ancienneté des postes non lettrés.,La dégradation du taux de lettrage signale un changement de comportement de paiement.,true,T,A|B|C,C03
D2,D,13,Lettrage des comptes 42 et 43,Apurer les comptes de personnel et d'organismes sociaux. Vérifier la concordance avec les échéances de règlement.,Un compte 43 non apuré après échéance signale des cotisations impayées.,true,P,A|B|C,C03
D3,D,14,Lettrage des comptes 467,Apurer les comptes de débiteurs et créditeurs divers.,"Signaler dans les suspens, sans décider seul de l'affectation définitive.",false,T,A|B|C,C03
D4,D,15,Apurement du compte 471,Ramener le solde à zéro ou poser au client les questions permettant d'identifier les opérations restantes.,"C'est l'ancienneté du solde, non son montant, qui caractérise la défaillance.",true,T,A|B|C,C03
D5,D,16,Apurement du compte 580,Ramener le solde à zéro.,Un solde non nul traduit un virement interne non abouti ou une double comptabilisation.,true,T,A|B|C,C03
D6,D,17,Justification du cycle programmé de la période,Justifier le ou les cycles de bilan prévus au calendrier de rotation du dossier.,"Un cycle justifié est rapproché d'un élément externe ou d'un état probant, non simplement consulté.",true,T,A|B|C,C03
E1,E,18,Établissement et contrôle de la déclaration de TVA,"Établir la déclaration, contrôler la cohérence de la base avec le CA comptabilisé et le taux implicite de TVA collectée.",Le contrôle du taux implicite est le contrôle fiscal le plus rentable du dispositif.,true,T,A|B|C,F01
E2,E,19,Écriture de TVA et concordance,Comptabiliser l'écriture et vérifier que le solde du 4455 correspond au montant déclaré.,Tout écart non justifié est une discordance latente.,true,T,A|B|C,F01
E3,E,20,Télétransmission et conservation de l'accusé,Télétransmettre au plus tard 48 heures avant l'échéance. Conserver l'accusé de réception au dossier.,L'accusé est la seule preuve du dépôt.,true,T,A|B|C,F01
E4,E,21,Autres obligations de la période,"Acomptes d'IS, e-reporting, DEB/DES selon le dossier.",L'absence d'une échéance à l'agenda est elle-même une anomalie.,false,T,A|B|C,F04
F1,F,22,Traitement et clôture des alertes de la période,"Clôturer chaque alerte traitée avec un motif renseigné, ou la maintenir ouverte en indiquant l'action engagée.",La mention « traité » ne constitue pas un motif.,true,T,A|B|C,G02
F2,F,23,Envoi de la liste des points en suspens au client,Transmettre la liste par écrit en conservant la trace au dossier.,L'écrit conditionne l'application de la règle des deux périodes.,true,T,A|B|C,G02
F3,F,24,Identification des besoins et préoccupations du client,"Signaler tout besoin exprimé ou préoccupation identifiée (facturation, recouvrement, RH, rentabilité).","Transmis au chef de mission, jamais traité directement. Seule tâche du dispositif à produire du chiffre d'affaires.",false,T,A|B|C,G02
F4,F,25,Saisie des temps de la période,"Vérifier que la totalité des temps de la période est imputée, par dossier et par nature.",Une période close avec des temps non imputés est une période incomplète.,true,T,A|B|C,I07
F5,F,26,Signalement des travaux hors lettre de mission,Identifier et signaler toute prestation réalisée non prévue à la lettre de mission.,Première source de perte de marge lorsqu'elle n'est ni tracée ni facturée.,false,T,A|B|C,G04
