reference,famille,libelle,regle_calcul,source,mode,seuil_relatif_defaut,applique_materialite,periodes_tendance,gravite,destinataire_initial,profils_applicables,periodicite,detecte,actif
A01,activite,Chiffre d'affaires de la période contre N-1 même période,(CA période N / CA même période N-1) - 1,fec,seuil,± 15 %,true,,3,collaborateur,T,periodique,Décrochage ou envolée d'activité non expliquée. Comparaison à période identique pour neutraliser la saisonnalité.,true
A02,activite,Chiffre d'affaires cumulé à date contre N-1 cumulé,(CA cumulé N / CA cumulé N-1) - 1,fec,seuil,± 10 %,true,,3,collaborateur,T,periodique,"Dérive de l'exercice, moins sensible aux décalages de facturation d'une période à l'autre.",true
A03,activite,Dérive continue du chiffre d'affaires,3 périodes consécutives d'écart négatif contre N-1,fec,tendance,,false,3,2,chef_de_mission,T,periodique,"Érosion lente d'activité, signal avancé de difficulté et de risque sur la continuité d'exploitation.",true
A04,activite,Absence de chiffre d'affaires sur une période d'activité normale,Somme des comptes 70 = 0 sur la période,fec,rupture,,false,,1,chef_de_mission,T,periodique,"Recettes non transmises, non comptabilisées, ou cessation d'activité non signalée au cabinet.",true
A05,activite,Dérive de la structure des modes d'encaissement,"Part de chaque mode (espèces, carte, virement, chèque) contre moyenne mobile 12 mois",fec,seuil,± 5 points,false,,2,chef_de_mission,E,periodique,"Bascule du mix d'encaissement, indice classique de recettes espèces non déclarées.",true
A06,activite,Facture moyenne ou panier moyen contre N-1,CA période / nombre de pièces de vente,fec,seuil,± 20 %,false,,3,collaborateur,T,periodique,"Changement de modèle non signalé, ou omission d'un lot de factures.",true
A07,activite,Chiffre d'affaires comptabilisé contre chiffre d'affaires déclaré en TVA,CA comptable cumulé - base déclarée cumulée,declaratif,rupture,> 1 %,false,,1,chef_de_mission,T,periodique,"Écart de base taxable, risque de rappel avec pénalités. Contrôle le plus fréquemment activé en vérification.",true
A08,activite,Concentration client,CA du premier client / CA total,fec,seuil,> 30 %,false,,3,collaborateur,T,annuelle,"Dépendance économique, à intégrer au critère de risque R5 de la grille de segmentation.",true
A09,activite,Facturation à une entité liée,"Vente à un tiers identifié comme lié, sans convention au dossier permanent",fec,rupture,,false,,2,chef_de_mission,T,periodique,"Convention réglementée non formalisée, risque de requalification et d'acte anormal de gestion.",true
B01,marge,Taux de marge brute contre N-1 même période,"(CA - achats consommés) / CA, écart en points",fec,seuil,± 3 points,true,,2,chef_de_mission,T,periodique,Le taux s'exprime en POINTS et non en variation relative : plus lisible et comparable d'un dossier à l'autre.,true
