poste,grade,code_temps,classe,minutes_par_occurrence,base_occurrence,actif
revue_periodique,chef_mission,C04,A,45,par_revue_periodique,true
revue_periodique,chef_mission,C04,B,60,par_revue_periodique,true
revue_periodique,chef_mission,C04,C,30,par_revue_periodique,true
revue_cloture,chef_mission,C02,A,240,par_exercice,true
revue_cloture,chef_mission,C02,B,150,par_exercice,true
revue_cloture,chef_mission,C02,C,60,par_exercice,true
revue_cloture,expert_comptable,C04,A,150,par_exercice,true
revue_cloture,expert_comptable,C04,B,90,par_exercice,true
revue_cloture,expert_comptable,C04,C,45,par_exercice,true
preparation_entretien,chef_mission,C08,A,45,par_exercice,true
preparation_entretien,chef_mission,C08,B,30,par_exercice,true
preparation_entretien,chef_mission,C08,C,30,par_exercice,true
entretien_restitution,chef_mission,C08,A,90,par_exercice,true
entretien_restitution,chef_mission,C08,B,60,par_exercice,true
entretien_restitution,chef_mission,C08,C,60,par_exercice,true
entretien_restitution,expert_comptable,C08,A,90,par_exercice,true
entretien_restitution,expert_comptable,C08,B,60,par_exercice,true
entretien_restitution,expert_comptable,C08,C,60,par_exercice,true
